month,hour,is_weekend,temp_dry,humidity,wind_speed,cloud_cover,pressure,is_raining,season,kWh
1,0,0,24.25,74.31,1.2,45.92,1006.56,0,cool,0.3915
1,1,0,24.35,73.97,4.86,11.24,1013.32,0,cool,0.3771
1,2,0,24.65,72.97,1.32,22.74,1006.83,0,cool,0.3722
1,3,0,25.12,71.38,1.81,35.92,1011.12,0,cool,0.338
1,4,0,25.75,69.31,1.81,18.37,1008.66,0,cool,0.4172
1,5,0,26.47,66.9,2.81,21.98,1010.92,0,cool,0.3969
1,6,0,27.25,64.31,3.23,12.79,1006.71,0,cool,0.1837
1,7,0,28.02,61.72,2.48,51.05,1006.22,0,cool,0.1968
1,8,0,28.75,59.31,0.65,39.71,1014.09,0,cool,0.2254
1,9,0,29.37,57.24,2.84,28.7,1010.47,0,cool,0.1364
1,10,0,29.84,55.65,4.86,21.09,1012.75,0,cool,0.1787
1,11,0,30.14,54.65,1.38,15.31,1005.45,0,cool,0.1694
1,12,0,30.25,54.31,2.25,29.52,1007.71,0,cool,0.2685
1,13,0,30.14,54.65,2.94,26.86,1006.41,0,cool,0.2977
1,14,0,29.84,55.65,0.84,58.13,1014.87,0,cool,0.1778
1,15,0,29.37,57.24,4.17,10.33,1012.07,0,cool,0.1999
1,16,0,28.75,59.31,3.97,53.74,1005.74,0,cool,0.1661
1,17,0,28.02,61.72,3.3,61.79,1008.31,0,cool,0.323
1,18,0,27.25,64.31,1.9,13.81,1008.25,0,cool,0.3344
1,19,0,26.47,66.9,2.62,63.23,1006.2,0,cool,0.3341
1,20,0,25.75,69.31,3.92,52.79,1010.61,0,cool,0.41
1,21,0,25.12,71.38,2.42,41.36,1005.25,0,cool,0.4297
1,22,0,24.65,72.97,0.64,16.47,1011.36,0,cool,0.3908
1,23,0,24.35,73.97,1.62,64.45,1009.1,0,cool,0.322
1,0,0,22.32,78.72,1.23,27.39,1014.3,0,cool,0.3338
1,1,0,22.42,78.38,4.12,62.29,1006.87,0,cool,0.3489
1,2,0,22.72,77.38,2.93,63.55,1013.07,0,cool,0.3251
1,3,0,23.19,75.79,1.53,16.6,1009.27,0,cool,0.3537
1,4,0,23.82,73.72,4.37,59.08,1005.07,0,cool,0.2988
1,5,0,24.54,71.31,1.04,23.33,1008.38,0,cool,0.3723
1,6,0,25.32,68.72,1.95,66.57,1010.19,0,cool,0.1599
1,7,0,26.09,66.13,4.83,68.31,1007.52,0,cool,0.2137
1,8,0,26.82,63.72,1.85,39.83,1007.85,0,cool,0.194
1,9,0,27.44,61.65,0.73,40.16,1007.79,0,cool,0.1394
1,10,0,27.91,60.06,1.58,64.5,1006.45,0,cool,0.158
